['Age', 'Employment class', 'Fnlwgt', 'Education level', 'Education years', 'Marital status', 'Occupation', 'Relationship status', 'Race', 'Sex', 'Capital gain', 'Capital loss', 'Work hours per week', 'Native country']
['24', ' Private', '214542', ' Some-college', '10', ' Never-married', ' Craft-repair', ' Own-child', ' White', ' Male', '0', '0', '60', ' Canada']
['23', ' Private', '197666', ' Some-college', '10', ' Never-married', ' Adm-clerical', ' Not-in-family', ' White', ' Female', '0', '0', '24', ' Greece']
['36', ' Private', '245090', ' Some-college', '10', ' Married-civ-spouse', ' Craft-repair', ' Husband', ' White', ' Male', '3137', '0', '50', ' El-Salvador']
['38', ' Local-gov', '287658', ' Masters', '14', ' Divorced', ' Prof-specialty', ' Not-in-family', ' Black', ' Male', '0', '0', '40', ' Jamaica']
['59', ' State-gov', '261584', ' Bachelors', '13', ' Never-married', ' Exec-managerial', ' Not-in-family', ' Black', ' Female', '0', '0', '40', ' Outlying-US(Guam-USVI-etc)']
['51', ' Private', '64643', ' HS-grad', '9', ' Never-married', ' Farming-fishing', ' Not-in-family', ' White', ' Male', '0', '0', '60', ' ?']
['46', ' Private', '213140', ' Bachelors', '13', ' Married-civ-spouse', ' Prof-specialty', ' Husband', ' White', ' Male', '0', '0', '40', ' ?']
['41', ' Federal-gov', '219155', ' Prof-school', '15', ' Married-civ-spouse', ' Prof-specialty', ' Husband', ' White', ' Male', '0', '0', '50', ' India']
['47', ' Private', '219632', ' 5th-6th', '3', ' Married-spouse-absent', ' Machine-op-inspct', ' Other-relative', ' White', ' Male', '0', '0', '40', ' Mexico']
['42', ' Private', '657397', ' HS-grad', '9', ' Married-civ-spouse', ' Machine-op-inspct', ' Husband', ' White', ' Male', '0', '0', '40', ' Mexico']
['22', ' Private', '117747', ' Some-college', '10', ' Never-married', ' Craft-repair', ' Other-relative', ' Asian-Pac-Islander', ' Female', '0', '0', '40', ' Vietnam']
['48', ' Private', '119471', ' Doctorate', '16', ' Married-civ-spouse', ' Prof-specialty', ' Husband', ' Asian-Pac-Islander', ' Male', '0', '0', '40', ' India']
['34', ' Private', '177733', ' 9th', '5', ' Separated', ' Machine-op-inspct', ' Unmarried', ' White', ' Female', '0', '0', '35', ' Dominican-Republic']
